2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Coturnix coturnix;Common Quail;231;LC;LC;Coturnix coturnix;Coturnix coturnix;;;N, h + M;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Coturnix coturnix;Yes;Coturnix coturnix;Yes;Coturnix coturnix;
Alectoris graeca;Rock Partridge;246;NT;VU;Alectoris graeca;Alectoris graeca;;;N, H;;I;II/A;;;;;Non-migratory;;;;;;;;Yes;Alectoris graeca;Yes;Alectoris graeca;Yes;Alectoris graeca;
Alectoris chukar;Chukar;247;LC;LC;Alectoris chukar;Alectoris chukar;;;N, H;;;;II/B;;;;Non-migratory;;;;;;;;Yes;Alectoris chukar;Yes;Alectoris chukar;Yes;Alectoris chukar;
Alectoris barbara;Barbary Partridge;250;LC;LC;Alectoris barbara;Alectoris barbara;;;N, H;;I;;II/B;III/A;;;Non-migratory;;;;;;;;Yes;Alectoris barbara;Yes;Alectoris barbara;Yes;Alectoris barbara;
Alectoris rufa;Red-legged Partridge;251;LC;LC;Alectoris rufa;Alectoris rufa;;;N, H + Int (N, H);;;II/A;;III/A;;;Non-migratory;;;;;;;;Yes;Alectoris rufa;Yes;Alectoris rufa;Yes;Alectoris rufa;
Francolinus francolinus;Black Francolin;285;LC;LC;Francolinus francolinus;Francolinus francolinus;;;N, H;;;;II/B;;;;Non-migratory;;;;;;;;Yes;Francolinus francolinus;Yes;Francolinus francolinus;Yes;Francolinus francolinus;
Phasianus colchicus;Common Pheasant;330;LC;LC;Phasianus colchicus;Phasianus colchicus;;;N, H + Int (N, H);;;II/A;;III/A;;;Non-migratory;;;;;;;;Yes;Phasianus colchicus;Yes;Phasianus colchicus;Yes;Phasianus colchicus;
Perdix perdix;Grey Partridge;348;LC;LC;Perdix perdix;Perdix perdix;;;N, H;;I *;II/A;;III/A;;* P. p. italica + P. p. hispaniensis only;Non-migratory;;;;;;;;Yes;Perdix perdix;Yes;Perdix perdix;Yes;Perdix perdix;
Bonasa bonasia;Hazel Grouse;354;LC;LC;Bonasa bonasia;Bonasa bonasia;;;N, H;;I;;II/B;;;;Non-migratory;;;;;;;;Yes;Tetrastes bonasia;Yes;Bonasa bonasia;Yes;Tetrastes bonasia;
Lagopus lagopus;Willow Grouse;356;LC;VU;Lagopus lagopus;Lagopus lagopus;Includes scoticus;;N, H;;;II/A *;II/B **;III/A ***;;"* L. l. scoticus + L. l. hibernicus only; ** L. l. lagopus only; *** L. l. lagopus, scoticus + hibernicus only";Non-migratory;;;;;;;;Yes;Lagopus lagopus;Yes;Lagopus lagopus;Yes;Lagopus lagopus;
Lagopus muta;Rock Ptarmigan;357;LC;VU;Lagopus mutus;Lagopus mutus;Gender agreement (David & Gosselin 2002);;N, H;Lagopus mutus;I *;II/A;;;III/B;* L. m. pyrenaicus + L. m. helveticus only;Non-migratory;;;;;;;;Yes;Lagopus muta;Yes;Lagopus muta;Yes;Lagopus muta;
Tetrao urogallus;Western Capercaillie;364;LC;LC;Tetrao urogallus;Tetrao urogallus;;;N, H + Int (N, H);;I;;II/B;;III/B;;Non-migratory;;;;;;;;Yes;Tetrao urogallus;Yes;Tetrao urogallus;Yes;Tetrao urogallus;
Lyrurus tetrix;Black Grouse;366;LC;LC;Tetrao tetrix;Tetrao tetrix;Genus change;;N, H;Tetrao tetrix;I *;;II/B;;III/B **;"* T. t. tetrix only; ** T. t. britannicus only";Non-migratory;;;;;;;;Yes;Lyrurus tetrix;Yes;Tetrao tetrix;Yes;Lyrurus tetrix;
Oxyura leucocephala;White-headed Duck;393;EN;VU;Oxyura leucocephala;Oxyura leucocephala;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;II;A;Yes;Oxyura leucocephala;Yes;Oxyura leucocephala;Yes;Oxyura leucocephala;
Cygnus olor;Mute Swan;401;LC;LC;Cygnus olor;Cygnus olor;;;N, H + W + Int (N, H);;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Cygnus olor;Yes;Cygnus olor;Yes;Cygnus olor;
Cygnus cygnus;Whooper Swan;403;LC;LC;Cygnus cygnus;Cygnus cygnus;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Cygnus cygnus;Yes;Cygnus cygnus;Yes;Cygnus cygnus;
Cygnus columbianus;Tundra Swan;404;LC;EN;Cygnus columbianus;Cygnus columbianus;Includes bewickii;;W;Cygnus bewickii;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Cygnus columbianus;Yes;Cygnus columbianus;Yes;Cygnus columbianus;
Branta bernicla;Brent Goose;405;LC;LC;Branta bernicla;Branta bernicla;Includes hrota and nigricans;;W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Branta bernicla;Yes;Branta bernicla;Yes;Branta bernicla;
Branta leucopsis;Barnacle Goose;406;LC;LC;Branta leucopsis;Branta leucopsis;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Branta leucopsis;Yes;Branta leucopsis;Yes;Branta leucopsis;
Branta ruficollis;Red-breasted Goose;407;VU;NT;Branta ruficollis;Branta ruficollis;;;W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;II;A;Yes;Branta ruficollis;Yes;Branta ruficollis;Yes;Branta ruficollis;
Anser anser;Greylag Goose;415;LC;LC;Anser anser;Anser anser;;;N, H + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anser anser;Yes;Anser anser;Yes;Anser anser;
Anser fabalis;Bean Goose;417;LC;LC;Anser fabalis;Anser fabalis;Includes serrirostris;;N, H + W;;;II/A;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;No;Anser fabalis/serrirostris;No;Anser fabalis/serrirostris;Yes;Anser fabalis;
Anser brachyrhynchus;Pink-footed Goose;418;LC;LC;Anser brachyrhynchus;Anser brachyrhynchus;;;W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anser brachyrhynchus;Yes;Anser brachyrhynchus;Yes;Anser brachyrhynchus;
Anser albifrons;Greater White-fronted Goose;419;LC;LC;Anser albifrons;Anser albifrons;Includes flavirostris;;W;;I *;;II/B;;III/B **;"* A. a. flavirostris only; ** A. a. albifrons only";Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Anser albifrons;Yes;Anser albifrons;Yes;Anser albifrons;
Anser erythropus;Lesser White-fronted Goose;420;VU;CR;Anser erythropus;Anser erythropus;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Anser erythropus;Yes;Anser erythropus;Yes;Anser erythropus;
Clangula hyemalis;Long-tailed Duck;421;VU;VU;Clangula hyemalis;Clangula hyemalis;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Clangula hyemalis;Yes;Clangula hyemalis;Yes;Clangula hyemalis;
Somateria spectabilis;King Eider;423;LC;NE;Somateria spectabilis;Somateria spectabilis;;;W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Somateria spectabilis;Yes;Somateria spectabilis;Yes;Somateria spectabilis;
Somateria mollissima;Common Eider;424;NT;EN;Somateria mollissima;Somateria mollissima;;;N, H + W;;;;II/B;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Somateria mollissima;Yes;Somateria mollissima;Yes;Somateria mollissima;
Polysticta stelleri;Steller's Eider;425;VU;EN;Polysticta stelleri;Polysticta stelleri;;;W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Polysticta stelleri;Yes;Polysticta stelleri;Yes;Polysticta stelleri;
Melanitta fusca;Velvet Scoter;427;VU;VU;Melanitta fusca;Melanitta fusca;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Melanitta fusca;No;Melanitta fusca;No;Melanitta fusca;
Melanitta nigra;Common Scoter;430;LC;LC;Melanitta nigra;Melanitta nigra;;;N, H + M + W;;;;II/B;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Melanitta nigra;Yes;Melanitta nigra;Yes;Melanitta nigra;
Bucephala clangula;Common Goldeneye;433;LC;LC;Bucephala clangula;Bucephala clangula;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Bucephala clangula;Yes;Bucephala clangula;Yes;Bucephala clangula;
Mergellus albellus;Smew;435;LC;LC;Mergellus albellus;Mergellus albellus;;;N, H + W;Mergus albellus;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Mergellus albellus;Yes;Mergellus albellus;Yes;Mergellus albellus;
Mergus merganser;Goosander;437;LC;LC;Mergus merganser;Mergus merganser;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Mergus merganser;Yes;Mergus merganser;Yes;Mergus merganser;
Mergus serrator;Red-breasted Merganser;439;LC;VU;Mergus serrator;Mergus serrator;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Mergus serrator;Yes;Mergus serrator;Yes;Mergus serrator;
Tadorna tadorna;Common Shelduck;454;LC;LC;Tadorna tadorna;Tadorna tadorna;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tadorna tadorna;Yes;Tadorna tadorna;Yes;Tadorna tadorna;
Tadorna ferruginea;Ruddy Shelduck;455;LC;NT°;Tadorna ferruginea;Tadorna ferruginea;;;N, h;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Tadorna ferruginea;Yes;Tadorna ferruginea;Yes;Tadorna ferruginea;
Marmaronetta angustirostris;Marbled Teal;476;VU;CR;Marmaronetta angustirostris;Marmaronetta angustirostris;;;N, h;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Marmaronetta angustirostris;Yes;Marmaronetta angustirostris;Yes;Marmaronetta angustirostris;
Netta rufina;Red-crested Pochard;478;LC;LC;Netta rufina;Netta rufina;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Netta rufina;Yes;Netta rufina;Yes;Netta rufina;
Aythya ferina;Common Pochard;481;VU;VU;Aythya ferina;Aythya ferina;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Aythya ferina;Yes;Aythya ferina;Yes;Aythya ferina;
Aythya nyroca;Ferruginous Duck;487;NT;LC;Aythya nyroca;Aythya nyroca;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;A;Yes;Aythya nyroca;Yes;Aythya nyroca;Yes;Aythya nyroca;
Aythya fuligula;Tufted Duck;490;LC;LC;Aythya fuligula;Aythya fuligula;;;N, H + M + W;;;II/A;;;III/B;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Aythya fuligula;Yes;Aythya fuligula;Yes;Aythya fuligula;
