"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"PT","MAC","MAC","5b3a42cbf6273fb1a2ad1d22c7dd9e51",2016,"Pipistrellus kuhlii",2016,"Pipistrellus kuhlii","Mammals","SR","N","N","Y-HTL","N","","",""
"RO","CON","CON","5b480fdd94014fa13c6b6840f51124e9",4087,"Serratula lycopifolia",4087,"Serratula lycopifolia","Vascular plants","1","Y","Y","Y","N","","",""
"IT","ALP","ALP","5b85eeb49ceefdd54e3ccaf6e3700bfa",1725,"Lindernia procumbens",1725,"Lindernia procumbens","Vascular plants","1","N","N","Y","N","","",""
"RO","ALP","ALP","5b882f6fcc446038284b08760c5788d8",1307,"Myotis blythii",1307,"Myotis blythii","Mammals","1","N","Y","Y","N","","",""
"LV","BOR","BOR","5ba3edd5f2028d71ed08310368336647",1334,"Lepus timidus",1334,"Lepus timidus","Mammals","1","N","N","N","Y","","",""
"BE","CON","CON","5bb5b95451964504305f6c8dc49d534f",1331,"Nyctalus leisleri",1331,"Nyctalus leisleri","Mammals","1","N","N","Y-HTL","N","","",""
"PL","CON","CON","5bc578cbab01a33f65227d6f4d9b4ce5",2189,"Galium cracoviense",2189,"Galium cracoviense","Vascular plants","1","N","Y","Y","N","","",""
"FR","MATL","MATL","5bcc85751a9baa2a1df57e24641979dd",2031,"Lagenorhynchus acutus",2031,"Lagenorhynchus acutus","Mammals","OCC","N","N","Y-HTL","N","","",""
"FR","ATL","ATL","5bded249994c79954f92ad6de9fe08d0",5192,"Narcissus juncifolius",5192,"Narcissus juncifolius","Vascular plants","1","N","N","N","Y","","",""
"ES","MED","MED","5bee634b7d74d5fc2cf56083cf683cca",1681,"Thymus carnosus",1681,"Thymus carnosus","Vascular plants","1","N","Y","Y","N","","",""
"FR","ATL","ATL","5c0e6d0e278eefae214a4c63ec751635",1082,"Graphoderus bilineatus",1082,"Graphoderus bilineatus","Arthropods","SR","N","Y","Y","N","","",""
"FR","CON","CON","5c23ad6a2ceab2f3ace1465d2b61b352",1321,"Myotis emarginatus",1321,"Myotis emarginatus","Mammals","1","N","Y","Y","N","","",""
"ES","MED","MED","5c28bef856d9af007046bb9c596c3186",1774,"Centaurea gadorensis",1774,"Centaurea gadorensis","Vascular plants","1","N","Y","Y","N","","",""
"BG","CON","CON","5c407d36de3221c9ba0a499852d5e6da",1079,"Limoniscus violaceus",1079,"Limoniscus violaceus","Arthropods","1","N","Y","N","N","","",""
"RO","PAN","PAN","5c4254a81b850846c6e1210468aa2921",4035,"Gortyna borelii lunata",4035,"Gortyna borelii lunata","Arthropods","1","N","Y","Y","N","","",""
"IT","ALP","ALP","5c4582e396002148079138f22faa37f3",4066,"Asplenium adulterinum",4066,"Asplenium adulterinum","Vascular plants","1","N","Y","Y","N","","",""
"RO","ALP","ALP","5c490a4baa94c85b27468686cbe8c9b9",1083,"Lucanus cervus",1083,"Lucanus cervus","Arthropods","1","N","Y","N","N","","",""
"NL","MATL","MATL","5c4977cf44b6d520d8b9d85e0501415b",2031,"Lagenorhynchus acutus",2031,"Lagenorhynchus acutus","Mammals","OCC","N","N","Y-HTL","N","","",""
"DE","CON","CON","5c4dfb24942654665761c490db0ad646",1303,"Rhinolophus hipposideros",1303,"Rhinolophus hipposideros","Mammals","1","N","Y","Y","N","","",""
"BG","CON","CON","5c57909ba500aa36f0f05a5068006f32",1217,"Testudo hermanni",1217,"Testudo hermanni","Reptiles","1","N","Y","Y","N","","",""
"ES","MED","MED","5c6caccd68218019b7ac415c3d28158a",1032,"Unio crassus",5382,"Unio tumidiformis","Molluscs","LR","N","Y","Y","N","","",""
"IT","ALP","ALP","5c773353008288ca5fe8c1f10153f8c6",1320,"Myotis brandtii",1320,"Myotis brandtii","Mammals","1","N","N","Y-HTL","N","","",""
"IT","ALP","ALP","5c7738604f19f42fa51710c11992f809",1013,"Vertigo geyeri",1013,"Vertigo geyeri","Molluscs","1","N","Y","N","N","","",""
"IT","MMED","MMED","5c991410842bb321f06853dbdb06fb26",1012,"Patella ferruginea",1012,"Patella ferruginea","Molluscs","1","N","N","Y","N","","",""
"IT","MED","MED","65bbc4406780071124304b4f3f8fd4f7",1661,"Galium litorale",1661,"Galium litorale","Vascular plants","1","Y","Y","Y","N","","",""
"RO","STE","STE","65c0a57662b090cc340ec9fedcf5b99a",1251,"Lacerta trilineata",1251,"Lacerta trilineata","Reptiles","1","N","N","Y","N","","",""
"FR","ALP","ALP","664b5804545200527701fd601fe93228",1305,"Rhinolophus euryale",1305,"Rhinolophus euryale","Mammals","1","N","Y","Y","N","","",""
"CZ","PAN","PAN","66529c7e5a05761775ea1b4398d2500f",1193,"Bombina variegata",1193,"Bombina variegata","Amphibians","1","N","Y","Y","N","","",""
"BG","ALP","ALP","665b22e14938e4a9cbccabce0ef67ec5",1355,"Lutra lutra",1355,"Lutra lutra","Mammals","1","N","Y","Y","N","","",""
"IT","CON","CON","665c4588bade80b5cb57d820b927f26a",1387,"Orthotrichum rogeri",1387,"Orthotrichum rogeri","Non-vascular plants","1","N","Y","N","N","","",""
"PL","ALP","ALP","6677ed50ded13306fe4647004037ceb3",1261,"Lacerta agilis",1261,"Lacerta agilis","Reptiles","1","N","N","Y","N","","",""
"ES","ALP","ALP","679f019310604739d3c547b69436799a",5009,"Pipistrellus pygmaeus",5009,"Pipistrellus pygmaeus","Mammals","1","N","N","Y-HTL","N","","",""
"NL","MATL","MATL","67a43d3a2a90d8daedcf10f5448adc23",1351,"Phocoena phocoena",1351,"Phocoena phocoena","Mammals","1","N","Y","Y","N","","",""
"BE","ATL","ATL","67a575adea429d67680ac208ac10f1e9",1413,"Lycopodium spp.",1413,"Lycopodium spp.","Vascular plants","1","N","N","N","Y","","",""
"BG","CON","CON","67af45a059de9537dacacb79f5f40e92",1323,"Myotis bechsteinii",1323,"Myotis bechsteinii","Mammals","1","N","Y","Y","N","","",""
"PT","MAC","MAC","67cfba2f6ab779d0f1fc6dab1b52a937",1854,"Scilla maderensis",1854,"Scilla maderensis","Vascular plants","1","N","Y","Y","N","","",""
"DK","ATL","ATL","67dfc1b6b348bb12f38aaffb2970d03c",1103,"Alosa fallax",1103,"Alosa fallax","Fish","OCC","N","Y-HTL","N","Y-HTL","","",""
"SK","PAN","PAN","67e29303d265199674af13f91182dcb5",1084,"Osmoderma eremita",1084,"Osmoderma eremita","Arthropods","1","Y","Y","Y","N","","",""
"DE","ALP","ALP","67ed9b6e401fa34f79e4099b49eebd0d",1657,"Gentiana lutea",1657,"Gentiana lutea","Vascular plants","1","N","N","N","Y","","",""
"AT","ALP","ALP","67f2cfd749f3f638c5c4c8cad8efbfc2",1079,"Limoniscus violaceus",1079,"Limoniscus violaceus","Arthropods","1","N","Y","N","N","","",""
"DE","CON","CON","680927c70db97cf2150aba2b005a51df",1058,"Maculinea arion",1058,"Maculinea arion","Arthropods","1","N","N","Y","N","","",""
"FR","ATL","ATL","680ec9369dab69ab05666af701308670",1378,"Cladonia spp. (subgenus Cladina)",1378,"Cladonia spp. (subgenus Cladina)","Non-vascular plants","1","N","N","N","Y","","",""
"CZ","CON","CON","682d2e39108fbd9e85b1822f80547648",1292,"Natrix tessellata",1292,"Natrix tessellata","Reptiles","1","N","N","Y","N","","",""
"SI","ALP","ALP","6830c2c5d3037b01942a5d8fae0dd4ef",2511,"Gobio kessleri",2511,"Gobio kessleri","Fish","1","N","Y","N","N","","",""
"PT","MAC","MAC","683df7712bc565fcf90e3c6584a42eda",1540,"Prunus lusitanica ssp. azorica",1540,"Prunus lusitanica ssp. azorica","Vascular plants","1","N","Y","Y","N","","",""
"GR","MED","MED","species-gobio-uranoscopus.xml",1122,"Gobio uranoscopus",6159,"Gobio elimeius","Fish","1","N","Y","N","N","","",""
"GR","MED","MED","species-salmo-macrostigma.xml",1108,"Salmo macrostigma",1108,"Salmo macrostigma","Fish","LR","N","Y","N","N","","",""
"GR","MED","MED","species-zingel-streber.xml",1160,"Zingel streber",5356,"Zingel balcanicus","Fish","1","N","Y-HTL","N","N","","",""
"SI","ALP","ALP","08b453bb2bd3072ec9a551d0387a77fe",1310,"Miniopterus schreibersii",1310,"Miniopterus schreibersii","Mammals","1","N","Y","Y","N","","",""
"SK","PAN","PAN","08d5a6d6cec2ad53ade2b0b289c084cc",1134,"Rhodeus sericeus amarus",1134,"Rhodeus sericeus amarus","Fish","1","N","Y","N","N","","",""
"FR","ALP","ALP","08f2c7d88685244bdf64b58f2be8a401",1109,"Thymallus thymallus",1109,"Thymallus thymallus","Fish","1","N","N","N","Y","","",""
